cage,id,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,Notes,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed,weight,percent_body_weight,amount_fed
cage,id,9/18/2022,9/18/2022,9/18/2022,9/19/2022,9/19/2022,9/19/2022,9/20/2022,9/20/2022,9/20/2022,9/21/2022,9/21/2022,9/21/2022,9/22/2022,9/22/2022,9/22/2022,9/23/2022,9/23/2022,9/23/2022,9/24/2022,9/24/2022,9/24/2022,9/24/2022,9/25/2022,9/25/2022,9/25/2022,9/26/2022,9/26/2022,9/26/2022,9/27/2022,9/27/2022,9/27/2022,9/30/2022,9/30/2022,9/30/2022,10/1/2022,10/1/2022,10/1/2022,10/2/2022,10/2/2022,10/2/2022,10/3/2022,10/3/2022,10/3/2022
4,4.2,40,1,5,38.8,0.97,3,38.8,0.97,3,38.9,0.9725,2.5,38.3,0.9575,2,38.2,0.955,1.8,37.4,0.935,1.8,,36,0.9,1.8,35.7,0.8925,1.8,33.8,0.845,5,39.9,0.9975,0,36.3,0.9075,1.8,35.6,0.89,1.8,33.8,0.845,1.8
4,4.3,40.3,1,5,38.4,0.952853598,3,38.9,0.9652605459,3,38.7,0.9602977667,2.5,38.6,0.9578163772,2,38.6,0.9578163772,1.8,37.7,0.935483871,1.8,,35.3,0.8759305211,1.8,35.4,0.8784119107,1.8,35,0.8684863524,5,47.4,1.17617866,0,37.5,0.9305210918,1.8,36.9,0.9156327543,1.8,35.3,0.8759305211,1.8
4,4.4,44,1,5,43.2,0.9818181818,3,43,0.9772727273,3,42.5,0.9659090909,2.5,41.5,0.9431818182,2,41.4,0.9409090909,1.8,39.8,0.9045454545,1.8,,38.7,0.8795454545,1.8,38.6,0.8772727273,1.8,38.4,0.8727272727,5,44,1,0,40.3,0.9159090909,1.8,39.6,0.9,1.8,37.4,0.85,1.8
5,5.1,44.6,1,5,41.6,0.932735426,3,42.5,0.9529147982,2.9,42.1,0.9439461883,2.5,40.8,0.9147982063,2.5,40.9,0.9170403587,2,40,0.8968609865,2,,39.1,0.8766816143,2,39,0.8744394619,2,38,0.8520179372,5,43.7,0.9798206278,0,40.7,0.9125560538,1.8,39.4,0.8834080717,1.8,37.9,0.8497757848,1.8
5,5.2,39.9,1,5,37.5,0.9398496241,3,39.3,0.984962406,2.9,39,0.977443609,2.5,41.6,1.042606516,2.5,36.8,0.9223057644,2,36.7,0.9197994987,2,,35.3,0.8847117794,2,34.9,0.8746867168,2,34.5,0.8646616541,5,45.8,1.147869674,0,37.3,0.9348370927,1.8,37,0.9273182957,1.8,34.6,0.8671679198,1.8
5,5.3,45.8,1,5,44.4,0.9694323144,3,44.6,0.9737991266,2.9,44.1,0.9628820961,2.5,43.8,0.9563318777,2.5,43.4,0.9475982533,2,42.1,0.9192139738,2,,40.9,0.8930131004,2,41.2,0.8995633188,2,40.3,0.8799126638,5,45.4,0.9912663755,0,41.5,0.9061135371,1.8,41,0.8951965066,1.8,39.3,0.8580786026,1.8
5,5.4,39.7,1,5,37.5,0.9445843829,3,39.3,0.9899244332,2.9,38.5,0.9697732997,2.5,33.9,0.8539042821,2.5,37.7,0.9496221662,2,37.1,0.9345088161,2,,35.4,0.8916876574,2,35.9,0.9042821159,2,34.5,0.8690176322,5,40.7,1.025188917,0,37.9,0.9546599496,1.8,37.1,0.9345088161,1.8,34.8,0.8765743073,1.8
6,6.1,38.4,1,5,38,0.9895833333,3,37.7,0.9817708333,2.9,36.5,0.9505208333,2.5,37.4,0.9739583333,2,38,0.9895833333,1.8,37.6,0.9791666667,0,cage_6_seemed_to_be_satiated_and_had_extra_food_on_the_floor_and_did_not_eat_it,34.5,0.8984375,2,34.8,0.90625,1.8,34.4,0.8958333333,5,38.6,1.005208333,0,34.9,0.9088541667,1.9,34.8,0.90625,1.6,32.6,0.8489583333,1.8
6,6.2,38,1,5,36.5,0.9605263158,3,36.1,0.95,2.9,35.9,0.9447368421,2.5,36.2,0.9526315789,2,36.2,0.9526315789,1.8,35.7,0.9394736842,0,cage_6_seemed_to_be_satiated_and_had_extra_food_on_the_floor_and_did_not_eat_it,32.2,0.8473684211,2,33.8,0.8894736842,1.8,33.3,0.8763157895,5,37.2,0.9789473684,0,33.9,0.8921052632,1.9,33.5,0.8815789474,1.6,31.9,0.8394736842,1.8
6,6.3,44.7,1,5,44.2,0.9888143177,3,43.6,0.9753914989,2.9,42.7,0.9552572707,2.5,42.6,0.9530201342,2,43,0.9619686801,1.8,42.7,0.9552572707,0,cage_6_seemed_to_be_satiated_and_had_extra_food_on_the_floor_and_did_not_eat_it,39.6,0.8859060403,2,41.6,0.9306487696,1.8,40.7,0.9105145414,5,41.2,0.9217002237,0,41.2,0.9217002237,1.9,40.6,0.9082774049,1.6,39.3,0.8791946309,1.8
6,6.4,50.9,1,5,50.1,0.9842829077,3,50.1,0.9842829077,2.9,49.6,0.974459725,2.5,50.7,0.9960707269,2,51.2,1.00589391,1.8,50.1,0.9842829077,0,cage_6_seemed_to_be_satiated_and_had_extra_food_on_the_floor_and_did_not_eat_it,47.5,0.9332023576,2,47.6,0.9351669941,1.8,47.4,0.931237721,5,52.3,1.027504912,0,48.4,0.9508840864,1.9,47.9,0.9410609037,1.6,45.4,0.8919449902,1.8
